AQU,Detroit,1
ARIZ,Stanford,36
ARIZ,Arizona,595
ARIZ,Oregon,47
ARIZ,California,35
ARIZ,Oregon St,17
ARIZ,Arizona St,22
ARIZ,Utah,33
ARIZ,Colorado,21
ARIZ,UCLA,58
ARIZ,Gonzaga,16
ARIZ,Weber State,5
ARIZ,San Diego St,14
ARIZ,Wisconsin,7
ARIZ,Gardner-Webb,2
ARIZ,Kansas St,5
ARIZ,Missouri,6
ARIZ,UC Irvine,3
ARIZ,CS Northridge,4
ARIZ,Mt St Mary's,2
ARIZ,Utah Valley,3
ARIZ,UTEP,7
ARIZ,UNLV,16
ARIZ,Washington,40
ARIZ,Washington St,13
ARIZ,USC,33
ARIZ,Ohio State,3
ARIZ,Texas Southern,2
ARIZ,Xavier,4
ARIZ,Bradley,3
ARIZ,Boise State,5
ARIZ,Santa Clara,5
ARIZ,Arizona Timeout,1
ARIZ,Providence,3
ARIZ,Pacific,4
ARIZ,Northern Arizona,14
ARIZ,Long Beach St,3
ARIZ,Wichita St,2
ARIZ,Kansas,12
ARIZ,Virginia,12
ARIZ,Michigan Stat,5
ARIZ,Connecticut,5
ARIZ,Houston,7
ARIZ,St Mary's (C,4
ARIZ,Northern Ariz,4
ARIZ,Oregon State,23
ARIZ,Samford,2
ARIZ,New Mexico State,1
ARIZ,Illinois,10
ARIZ,Louisville,7
ARIZ,Memphis,8
ARIZ,Washington State,19
ARIZ,North Carolina,1
ARIZ,Arizona State,13
ARIZ,Texas A&M,4
ARIZ,Fresno State,5
ARIZ,San Diego State,11
ARIZ,Cleveland State,3
ARIZ,Vanderbilt,3
ARIZ,Idaho State,3
ARIZ,Mississippi State,4
ARIZ,Ball State,5
ARIZ,Florida,5
ARIZ,Long Beach State,2
ARIZ,Charleston Southern,5
ARIZ,Miami (FL),4
ARIZ,Belmont,3
ARIZ,Duke,5
ARIZ,New Mexico St,4
ARIZ,Southern,3
ARK,Florida,20
ARK,Arkansas,244
ARK,Kentucky,23
ARK,Iona,4
ARK,North Texas,4
ARK,SMU,3
ARK,Iowa State,2
ARK,Clemson,4
ARK,Georgia,8
ARK,Vanderbilt,20
ARK,Tennessee,17
ARK,Ole Miss,7
ARK,Auburn,1
ARK,Missouri,3
ARK,Mississippi St,5
ARK,Texas A&M,16
ARK,South Carolina,5
ARK,LSU,9
ARK,Wofford,2
ARK,North Carolina,2
ARK,Connecticut,4
ARK,Maryland,2
ARK,Western Illin,4
ARK,Southern Illinois,6
ARK,Alabama,5
ARK,Providence,2
ARK,Virginia Commonwealt,4
ARK,Charleston,4
ARK,Oklahoma,4
ARK,Texas,10
ARK,Louisville,1
ARK,UAB,4
ARK,Mississippi,3
ARK,Gonzaga,2
ARK,Savannah St,3
ARMY,Army,17
ARMY,Duke,2
ARMY,Connecticut,3
ARMY,Florida Gulf Coast,4
ARMY,Vassar,3
ARMY,Maine,3
ARST,Central Arkansas,4
ARST,Arkansas St,8
ARST,Oregon,2
ARST,Tenn-Martin,3
ARST,Louisville,3
ARST,Arkansas Stat,4
ARST,Arkansas State,27
ARST,Western Kentucky,5
ARST,Memphis,5
ARST,Middle Tennessee,4
ARST,Austin Peay,4
ARST,Murray State,2
ASU,Arizona St,50
ASU,Arizona,30
ASU,Texas,4
ASU,Utah,4
ASU,Texas A&M,2
ASU,Kentucky,1
ASU,Oregon,14
ASU,USC,12
ASU,California,15
ASU,Arizona State,192
ASU,Iowa,2
ASU,UCLA,28
ASU,Washington,21
ASU,Washington State,12
ASU,Xavier,3
ASU,Stanford,10
ASU,UTEP,2
ASU,Baylor,5
ASU,Pepperdine,3
ASU,San Diego State,5
ASU,Jackson State,3
ASU,Nebraska,3
ASU,Brigham Young,2
ASU,Idaho State,3
ASU,Oregon State,5
ASU,Syracuse,2
ASU,Temple,4
ASU,Duke,2
AUB,Auburn,97
AUB,Florida,11
AUB,Kentucky,13
AUB,South Carolina,4
AUB,Arkansas,4
AUB,Xavier,5
AUB,LSU,7
